postnr,by,kortnavn,væsensnavn,adresse,latitude,bibliotekstype,id,longitude,navn
0112,Fladøen S,Øknasten,Øen,Fladøens Filialvej 17,,Other,000201,,Øknasten
2750,Ballerup,Dummy Bestilmodtager,Dummy Bestilmodtager,Tempovej 7-11,,Forskningsbibliotek,100400,,Dummy Bestilmodtager
0115,Qtestfilialby,Qtestfilial,Dummy Bestilmodtager,Qtestfilialvej 1,,Forskningsbibliotek,100401,,Qtestfilial
0117,Q2zx,Q1fjern kort,Integra Testbiblioteker,Q1vej 22,,Folkebibliotek,100450,,Q1fjern
0116,Q2zx,Q2fjern kort,Q2fjern-Væsen,Qfjernvej 2,,Other,100451,,Q2fjern
,,,FBSDemo-Folk1,,,Folkebibliotek,131300,,FBSDemo-Folk1
,,,FBSDemo-Folk1,,,Folkebibliotek,135300,,FBSDemo-Folk1
D-24939,Flensburg,Dansk Centralbibliotek,Dansk Centralbibliotek for Sydslesvig e.V.,Norderstrasse 59,54.79212,Folkebibliotek,700400,9.43103,Flensborg Bibliotek
D-25813,Husum,Husum Bibliotek,Dansk Centralbibliotek for Sydslesvig e.V.,Neustadt 81,54.4801716,Folkebibliotek,700401,9.0467115,Husum Bibliotek
D-24837,Schleswig,Slesvig Bibliotek,Dansk Centralbibliotek for Sydslesvig e.V.,Bismarckstraße 18A,54.5188982,Folkebibliotek,700402,9.5640843,Slesvig Bibliotek
D-24340,Eckernförde,Fællesbiblioteket Egernførde,Dansk Centralbibliotek for Sydslesvig e.V.,Hans-Chr-Andersen Weg 2,54.47328,Folkebibliotek,700404,9.82871,Fællesbiblioteket Egernførde
D-24939,Flensburg,Bogbusserne,Dansk Centralbibliotek for Sydslesvig e.V.,Norderstr. 59,54.79212,Folkebibliotek,700405,9.43103,Bogbusserne
1172,København K,København,Københavns Biblioteker,Krystalgade 15,55.680887,Folkebibliotek,710100,12.573619,"Hovedbiblioteket, Krystalgade"
2200,København N,Blågården,Københavns Biblioteker,Blågårds Plads 5,55.6860904,Folkebibliotek,710104,12.5567168,Blågårdens Bibliotek
2700,Brønshøj,Brønshøj,Københavns Biblioteker,"Krabbesholmvej 3
",55.7042921,Folkebibliotek,710105,12.4993836,Brønshøj Bibliotek
1420,København K,Christianshavn,Københavns Biblioteker,Dronningensgade 53,55.6723406,Folkebibliotek,710106,12.5921292,Christianshavns Bibliotek
2700,Brønshøj,Husum,Københavns Biblioteker,Frederikssundsvej 290,55.7113268,Folkebibliotek,710107,12.4747123,Husum Bibliotek
2300,København S,Islands Brygge,Københavns Biblioteker,Njalsgade 15,55.6665428,Folkebibliotek,710108,12.5791908,Islands Brygge Bibliotek
2100,København Ø,Øbro,Københavns Biblioteker,Jagtvej 227,55.709173,Folkebibliotek,710109,12.576458,Øbro Jagtvej Bibliotek
2400,København NV,Rentemestervej,Københavns Biblioteker,Rentemestervej 76,55.708421,Folkebibliotek,710110,12.52288,Biblioteket Rentemestervej
